TRGID,UPC,Title,ProgramName,MasterProgramName,CategoryName,Manufacturer,LocationNotListable,ProductStatus,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Classification_PHYSICAL CONDITION,Classification_CONDITION,Classification_TECHNICAL FUNCTIONALITY,PalletLocationID,RTVType,Tag_NotListedReason,Tag_VenueExclusivity,Serialized,FirstStoredOnListableLocationOn
TRG00001,00100000001,Item 1 Accessories,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,HP,FALSE,Active,$230.40,$143.36,Damaged,C,Functional,PAL-43,,,,Y,2026-08-16
TRG00002,00100000002,Item 2 Monitors,PHXAZ-RETURNS,Specialty,Monitors,Sony,TRUE,Active,$170.31,$37.57,Good,A,Functional,,Non RTV,,,N,2026-08-16
TRG00003,00100000003,Item 3 Accessories,BRTON-WM-FOO,Walmart Computers Parts (Finished),Accessories,Sony,FALSE,Active,$48.24,$42.33,Fair,A,Functional,,,,,N,2026-08-28
TRG00004,00100000004,Item 4 Accessories,DALLX-HEADPHONES,Specialty,Accessories,Lenovo,FALSE,Active,$185.17,$193.38,Damaged,A,Functional,PAL-23,Non RTV,,,N,2026-09-03
TRG00005,00100000005,Item 5 Computers,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Computers,Sony,TRUE,Active,$237.90,$48.62,Damaged,A,Functional,,,,,Y,2026-09-04
TRG00006,00100000006,Item 6 Computers,PHXAZ-RETURNS,Open Box Returns,Computers,HP,FALSE,Active,$167.26,$110.87,Very Good,C,Functional,,,,,N,2026-08-30
TRG00007,00100000007,Item 7 Accessories,MIAFL-HEAD-OFFICE,Specialty,Accessories,Dell,FALSE,Active,$62.19,$197.21,Damaged,C,Functional,,Non RTV,,,N,2026-08-18
TRG00008,00100000008,Item 8 Accessories,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Accessories,Sony,FALSE,Active,$130.83,$69.22,Very Good,A,Functional,,Non RTV,,,N,2026-09-01
TRG00009,00100000009,Item 9 Headphones,DALLX-HEADPHONES,Open Box Returns,Headphones,Sony,FALSE,Active,$202.23,$182.46,Damaged,A,Functional,,Non RTV,,,N,2026-09-10
TRG00010,00100000010,Item 10 Tablets,BRTON-WM-BAR,Walmart Computer Parts (Finished),Tablets,Dell,FALSE,Active,$46.40,$83.01,Fair,C,Functional,,,,,Y,2026-09-15
TRG00011,00100000011,Item 11 Headphones,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Headphones,Samsung,FALSE,Active,$113.95,$244.95,Very Good,B,Functional,,,,,N,2026-08-19
TRG00012,00100000012,Item 12 TVs,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Samsung,FALSE,Active,$192.90,$105.41,Very Good,A,Functional,,Non RTV,,,N,2026-08-11
TRG00013,00100000013,Item 13 Tablets,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Dell,FALSE,Active,$230.88,$156.16,Damaged,B,Functional,,Non RTV,,,N,2026-09-09
TRG00014,00100000014,Item 14 Headphones,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Headphones,Samsung,FALSE,Active,$225.50,$208.47,Good,A,Functional,,RTV Liquidate,,,N,2026-08-08
TRG00015,00100000015,Item 15 Tablets,MIAFL-HEAD-OFFICE,Warehouse Direct,Tablets,Lenovo,FALSE,Active,$117.24,$137.26,Fair,B,Functional,,,,,N,2026-09-11
TRG00016,00100000016,Item 16 Computers,DALLX-HEADPHONES,Open Box Returns,Computers,HP,FALSE,Active,$250.31,$241.07,Fair,A,Functional,PAL-7,RTV Liquidate,,,Y,2026-08-25
TRG00017,00100000017,Item 17 Headphones,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Headphones,Samsung,FALSE,Active,$83.10,$189.93,Very Good,B,Functional,,RTV Liquidate,,,N,2026-08-27
TRG00017,00100000017,Item 17 duplicate last,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Headphones,Dell,FALSE,Active,$83.10,$189.93,Very Good,B,Functional,,RTV Liquidate,,,N,2026-08-27
TRG00018,00100000018,Item 18 Computers,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Computers,Dell,FALSE,Active,$136.18,$62.36,Good,C,Functional,PAL-43,,,,N,2026-08-06
TRG00019,00100000019,Item 19 Computers,PHXAZ-RETURNS,Walmart Monitors (Finished),Computers,Sony,FALSE,Active,$164.09,$52.71,Damaged,B,Functional,PAL-30,RTV Liquidate,,,N,2026-09-14
TRG00020,00100000020,Item 20 TVs,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),TVs,HP,FALSE,Active,$187.04,$164.64,Good,B,Functional,PAL-5,RTV Liquidate,,,N,2026-09-15
